Week,Function,Technique,Kernel,Acquisition_Function,Parameter_Name,Parameter_Value,Peak_Output,Weekly_Improvement,Efficiency_Score,Convergence_Speed_Weeks,Model_Accuracy_Percent,Exploration_Rate_Percent,Queries_Made,Status,Key_Insight
1,F1,GP,Matern+White,UCB,Beta,3.0,1.32e-79,0,1.02e-80,1,45,85,1,Exploration,Extremely flat landscape - baseline established
1,F2,GP,RQ,UCB,Beta,3.0,0.272,0.272,0.021,1,52,100,1,Exploration,Good prediction accuracy (9% error) - foundation set
1,F3,GP,Matern,UCB,Beta,3.0,-0.099,-0.099,-0.007,1,51,100,1,Exploration,Negative outputs - multimodal landscape detected
1,F4,GP,Matern+White,UCB,Beta,3.0,-0.772,-0.772,-0.059,1,31,100,1,Exploration,Poor prediction (69% error) - 4D curse evident
1,F5,GP,RQ,UCB,Beta,1.5,2596.24,2596.24,199.7,1,92,100,1,Exploration,⭐ STAR PERFORMER - high output function identified
1,F6,GP,Matern+White,UCB,Beta,3.0,-1.192,-1.192,-0.092,1,3,100,1,Exploration,Terrible prediction (297% error) - noisy landscape
1,F7,GP,Matern+White,UCB,Beta,1.0,0.468,0.468,0.036,1,83,100,1,Exploration,Good prediction (17% error) - 6D manageable
1,F8,Ensemble,Mixed,UCB,Beta,1.5,0.006,0.006,0.00046,1,1,100,1,Exploration,Ensemble failed (99.89% error) - 8D too complex
2,F1,GP,Matern+White,UCB,Beta,5.0,1.32e-79,0,1.02e-80,2,50,90,1,Plateau,Increased exploration doesn't help flat function
2,F2,GP,RQ,EI,Xi,0.01,0.545,0.273,0.042,2,82,45,1,Switching,SWITCH to EI - exploitation begins; +100% improvement
2,F3,GP,Matern,UCB,Beta,5.0,-0.087,0.012,0.001,2,58,75,1,Exploration,Marginal improvement; multimodal confirmed
2,F4,GP,Matern+White,UCB,Beta,3.0,-0.765,0.007,0.0005,2,45,65,1,Exploration,Slight improvement; 4D still challenging
2,F5,GP,RQ,UCB,Beta,1.0,3486.10,889.86,268.2,2,91,10,1,Exploitation,Light exploitation pays off; +34% weekly gain
2,F6,GP,Matern+White,UCB,Beta,5.0,-0.812,0.38,0.029,2,28,75,1,Exploration,Improved from -1.192 to -0.812; noisy but progressing
2,F7,GP,Matern+White,UCB,Beta,3.0,0.521,0.053,0.004,2,81,50,1,Balanced,Steady improvement; balanced strategy working
2,F8,GP,Matern,UCB,Beta,1.5,0.47,0.464,0.036,2,62,80,1,Recovery,Switched to simple GP; stabilized after week 1 failure
3,F1,GP,Matern+White,UCB,Beta,5.0,1.32e-79,0,1.02e-80,3,48,85,1,Converged,Flat function confirmed converged; accept ceiling
3,F2,GP,RQ,EI,Xi,0.01,0.642,0.097,0.049,3,88,30,1,Exploitation,Continued EI exploitation; +18% weekly gain
3,F3,GP,Matern,UCB,Beta,5.0,-0.084,0.003,0.0002,3,62,70,1,Exploration,Minor gains; function very difficult
3,F4,GP,Matern+White,UCB,Beta,3.0,-0.728,0.037,0.003,3,52,60,1,SVM_Prep,SVM filtering activated this week; preparing for week 4+
3,F5,GP,RQ,EI,Xi,0.001,7367.39,3881.29,2455.8,3,94,5,1,🎯PEAK,⭐⭐⭐ BREAKTHROUGH - Found major peak (+111% improvement!)
3,F6,GP,Matern+White,UCB,Beta,5.0,-0.752,0.06,0.0046,3,35,70,1,Exploration,Steady progress; noise handling improving
3,F7,GP,Matern+White,UCB,Beta,3.0,0.561,0.04,0.0043,3,82,45,1,Balanced,Consistent balanced exploration; on track
3,F8,GP,Matern,UCB,Beta,1.5,2.0,1.53,0.154,3,68,75,1,Exploration,Still low output; high-D challenge confirmed
4,F1,GP,Matern+White,UCB,Beta,5.0,1.32e-79,0,1.02e-80,4,47,80,1,Converged,No improvement - function ceiling confirmed
4,F2,GP,RQ,EI,Xi,0.01,0.696,0.054,0.053,4,89,20,1,Exploitation,Continuing EI; steady refinement; +8% weekly
4,F3,GP,Matern,UCB,Beta,5.0,-0.082,0.002,0.0002,4,61,65,1,Exploration,Very slow progress; difficult function
4,F4,SVM+GP,Matern+White,UCB,Beta,3.0,-0.698,0.03,0.002,4,58,50,1,SVM_Active,SVM filtering active; +1.2% improvement vs. week 3
4,F5,GP,RQ,EI,Xi,0.001,7367.39,0,2455.8,4,93,2,1,Plateau,Converged at peak; maintain current strategy
4,F6,SVM+GP,Matern+White,UCB,Beta,5.0,-0.71,0.042,0.0032,4,42,60,1,SVM_Active,SVM filtering active; +0.9% net benefit vs. pure GP
4,F7,GP,Matern+White,UCB,Beta,3.0,0.592,0.031,0.0045,4,83,40,1,Balanced,Steady improvement; consistent strategy
4,F8,GP,Matern,UCB,Beta,1.5,3.2,1.2,0.246,4,70,70,1,Exploration,Improving; high-D still challenging
